music,layer1,layer2
blockblank,40,40
blockinsideright,40,80
blockinsideright,40,120
blockinsideright,40,160
blockinsideright,40,200
blockinsideright,40,240
blockinsideright,40,280
blockinsideright,40,320
blockinsideright,40,360
blockinsideright,40,400
blockinsideright,40,440
blockinsideright,40,480
blockblank,40,560
blockoutsidetop,40,0
blockoutsidebottom,40,600
blockoutsidecornerbottomleft,0,600
blockoutsidecornertopleft,0,0
blockoutsideleft,0,40
blockoutsideleft,0,80
blockoutsideleft,0,120
blockoutsideleft,0,160
blockoutsideleft,0,200
blockoutsideleft,0,240
blockoutsideleft,0,280
blockoutsideleft,0,320
blockoutsideleft,0,360
blockoutsideleft,0,400
blockoutsideleft,0,440
blockoutsideleft,0,480
blockoutsideleft,0,520
blockinsidetop,80,560
blockinsidetop,120,560
blockinsidetop,160,560
blockinsidetop,200,560
blockinsidetop,240,560
blockinsidetop,280,560
blockinsidetop,320,560
blockinsidetop,360,560
blockinsidetop,400,560
blockinsidetop,440,560
blockinsidetop,480,560
blockinsidetop,520,560
blockinsidetop,560,560
blockinsidetop,600,560
blockinsidetop,640,560
blockinsidetop,680,560
blockinsidetop,720,560
blockinsidetop,760,560
blockinsidetop,800,560
blockinsidetop,840,560
blockblank,880,560
blockinsideleft,880,480
blockinsideleft,880,440
blockinsideleft,880,400
blockinsideleft,880,360
blockinsideleft,880,320
blockinsideleft,880,280
blockinsideleft,880,240
blockinsideleft,880,200
blockinsideleft,880,160
blockinsideleft,880,120
blockinsideleft,880,80
blockblank,880,40
blockoutsidetop,880,0
blockoutsidebottom,880,600
blockinsidebottom,840,40
blockinsidebottom,800,40
blockinsidebottom,760,40
blockinsidebottom,720,40
blockinsidebottom,680,40
blockinsidebottom,640,40
blockinsidebottom,600,40
blockinsidebottom,560,40
blockinsidebottom,520,40
blockinsidebottom,480,40
blockinsidebottom,440,40
blockinsidebottom,400,40
blockinsidebottom,360,40
blockinsidebottom,320,40
blockinsidebottom,280,40
blockinsidebottom,240,40
blockinsidebottom,200,40
blockinsidebottom,160,40
blockinsidebottom,120,40
blockinsidebottom,80,40
blockoutsidetop,80,0
blockoutsidetop,120,0
blockoutsidetop,160,0
blockoutsidetop,200,0
blockoutsidetop,240,0
blockoutsidetop,280,0
blockoutsidetop,320,0
blockoutsidetop,360,0
blockoutsidetop,400,0
blockoutsidetop,440,0
blockoutsidetop,480,0
blockoutsidetop,520,0
blockoutsidetop,560,0
blockoutsidetop,600,0
blockoutsidetop,640,0
blockoutsidetop,680,0
blockoutsidetop,720,0
blockoutsidetop,760,0
blockoutsidetop,800,0
blockoutsidetop,840,0
blockoutsidecornertopright,920,0
blockoutsidecornerbottomright,920,600
blockoutsideright,920,520
blockoutsideright,920,440
blockoutsideright,920,480
blockoutsideright,920,360
blockoutsideright,920,320
blockoutsideright,920,280
blockoutsideright,920,200
blockoutsideright,920,120
blockoutsideright,920,80
blockoutsideright,920,40
blockoutsideright,920,240
blockoutsideright,920,160
blockoutsideright,920,400
blockoutsidebottom,840,600
blockoutsidebottom,800,600
blockoutsidebottom,760,600
blockoutsidebottom,720,600
blockoutsidebottom,680,600
blockoutsidebottom,640,600
blockoutsidebottom,600,600
blockoutsidebottom,560,600
blockoutsidebottom,520,600
blockoutsidebottom,480,600
blockoutsidebottom,440,600
blockoutsidebottom,400,600
blockoutsidebottom,360,600
blockoutsidebottom,320,600
blockoutsidebottom,280,600
blockoutsidebottom,240,600
blockoutsidebottom,200,600
blockoutsidebottom,120,600
blockoutsidebottom,160,600
blockoutsidebottom,80,600
panel,80,80
panel,160,80
panel,240,80
panel,320,80
panel,400,80
panel,480,80
panel,560,80
panel,640,80
panel,720,80
panel,800,80
panel,800,160
panel,720,160
panel,640,160
panel,560,160
panel,480,160
panel,400,160
panel,320,160
panel,160,160
panel,240,160
panel,80,160
panel,80,240
panel,160,240
panel,240,240
panel,320,240
panel,400,240
panel,480,240
panel,560,240
panel,640,240
panel,720,240
panel,800,240
panel,800,320
panel,720,320
panel,640,320
panel,560,320
panel,480,320
panel,400,320
panel,320,320
panel,240,320
panel,160,320
panel,80,320
panel,80,400
panel,160,400
panel,240,400
panel,320,400
panel,400,400
panel,480,400
panel,560,400
panel,640,400
panel,720,400
panel,800,400
panel,80,480
panel,160,480
panel,240,480
panel,320,480
panel,400,480
panel,480,480
panel,560,480
panel,640,480
panel,720,480
panel,800,480
spawn,184,502
door,656,490,true,1-1,world1
blockoutsideleft,0,560
blockoutsideright,920,560
blockinsideleft,880,520
blockinsideright,40,520
